taskname,prompt_program
HalloweenList_1,"Go to every office, and if there is a person there, ask them if they'd like a chocolate, caramel, or gummy. Come back and tell me how many of each we need to buy.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    chocolate_count = 0
    caramel_count = 0
    gummy_count = 0
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            response = ask("""", ""Would you like a chocolate, caramel, or gummy?"", [""chocolate"", ""caramel"", ""gummy""])
            if response == ""chocolate"":
                chocolate_count += 1
            elif response == ""caramel"":
                caramel_count += 1
            elif response == ""gummy"":
                gummy_count += 1
    go_to(start_loc)
    say(""We need to buy "" + str(chocolate_count) + "" chocolates, "" + str(caramel_count) + "" caramels, and "" + str(gummy_count) + "" gummies"")
"
HalloweenList_2,"Check with every occupied office to see if the occupant would like a chocolate, caramel, or gummy. Let me know how many of each we need to buy.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    chocolate_count = 0
    caramel_count = 0
    gummy_count = 0
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            response = ask("""", ""Would you like a chocolate, caramel, or gummy?"", [""chocolate"", ""caramel"", ""gummy""])
            if response == ""chocolate"":
                chocolate_count += 1
            elif response == ""caramel"":
                caramel_count += 1
            elif response == ""gummy"":
                gummy_count += 1
    go_to(start_loc)
    say(""We need to buy "" + str(chocolate_count) + "" chocolates, "" + str(caramel_count) + "" caramels, and "" + str(gummy_count) + "" gummies."")
"
HalloweenList_3,"Find every occupied office and ask their occupants whether they would like a chocolate, caramel, or gummy. Let me know how many of each we need to buy.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    chocolate_count = 0
    caramel_count = 0
    gummy_count = 0
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            response = ask("""", ""Would you like a chocolate, caramel, or gummy?"", [""chocolate"", ""caramel"", ""gummy""])
            if response == ""chocolate"":
                chocolate_count += 1
            elif response == ""caramel"":
                caramel_count += 1
            elif response == ""gummy"":
                gummy_count += 1
    go_to(start_loc)
    say(""We need to buy "" + str(chocolate_count) + "" chocolates, "" + str(caramel_count) + "" caramels, and "" + str(gummy_count) + "" gummies."")
"
HalloweenList_4,"Go to every office with a person, and ask them if they would like a chocolate, caramel, or gummy, then come back and tell me how many of each people asked for.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    chocolate_count = 0
    caramel_count = 0
    gummy_count = 0
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            response = ask("""", ""Would you like a chocolate, caramel, or gummy?"", [""chocolate"", ""caramel"", ""gummy""])
            if response == ""chocolate"":
                chocolate_count += 1
            elif response == ""caramel"":
                caramel_count += 1
            elif response == ""gummy"":
                gummy_count += 1
    go_to(start_loc)
    say(""People asked for "" + str(chocolate_count) + "" chocolates, "" + str(caramel_count) + "" caramels, and "" + str(gummy_count) + "" gummies"")
"
MovieMessenger_0,"Ask Sally in her office if she wants to go to the cinema with Mark. Go to Mark's office and tell him Sally's answer. If Sally says yes, ask Mark whether he wants to leave at 4PM, 5PM, or 6PM - then go tell Sally what time Mark is leaving.
def task_program():
    go_to(""Sally's office"")
    response_sally = ask(""Sally"", ""Do you want to go to the cinema with Mark?"", [""Yes"", ""No""])
    go_to(""Mark's office"")
    say(""Sally said: "" + response_sally)
    if response_sally == ""Yes"":
        response_mark = ask(""Mark"", ""What time do you want to leave? 4PM, 5PM, or 6PM?"", [""4PM"", ""5PM"", ""6PM""])
        go_to(""Sally's office"")
        say(""Mark is leaving at "" + response_mark)
"
MovieMessenger_1,"Ask Sally if she wants to go to the cinema with Mark. Tell Mark what Sally said, and if Sally said yes, ask Mark whether he wants to leave at 4PM, 5PM, or 6PM, and then go tell Sally what time Mark is leaving.
def task_program():
    go_to(""Sally's office"")
    response_sally = ask(""Sally"", ""Do you want to go to the cinema with Mark?"", [""Yes"", ""No""])
    go_to(""Mark's office"")
    say(""Sally said: "" + response_sally)
    if response_sally == ""Yes"":
        response_mark = ask(""Mark"", ""What time do you want to leave?"", [""4PM"", ""5PM"", ""6PM""])
        go_to(""Sally's office"")
        say(""Mark is leaving at "" + response_mark)
"
MovieMessenger_2,"Ask Sally if she wants to go to the cinema with Mark. Tell Mark what Sally said, and if yes, ask Mark whether he wants to leave at 4PM, 5PM, or 6PM. If Sally said yes, go tell Sally what time Mark is leaving.
def task_program():
    go_to(""Sally's office"")
    response_sally = ask(""Sally"", ""Do you want to go to the cinema with Mark?"", [""Yes"", ""No""])
    go_to(""Mark's office"")
    say(""Sally said: "" + response_sally)
    if response_sally == ""Yes"":
        response_mark = ask(""Mark"", ""What time do you want to leave?"", [""4PM"", ""5PM"", ""6PM""])
        go_to(""Sally's office"")
        say(""Mark is leaving at "" + response_mark)
"
MovieMessenger_3,"Go to Sally's office and ask her if she wants to go to the cinema with Mark. Tell Mark what Sally said, and if yes, ask Mark whether he wants to leave at 4PM, 5PM, or 6PM, and then go back to Sally's office and tell her what Mark said.
def task_program():
    go_to(""Sally's office"")
    response_sally = ask(""Sally"", ""Do you want to go to the cinema with Mark?"", [""Yes"", ""No""])
    go_to(""Mark's office"")
    say(""Sally said: "" + response_sally)
    if response_sally == ""Yes"":
        response_mark = ask(""Mark"", ""Do you want to leave at 4PM, 5PM, or 6PM?"", [""4PM"", ""5PM"", ""6PM""])
        go_to(""Sally's office"")
        say(""Mark wants to leave at "" + response_mark)
"
MovieMessenger_4,"Ask Sally if she wants to go to the cinema with Mark. Tell Mark what Sally said, and if yes, ask Mark whether he wants to leave at 4PM, 5PM, or 6PM. Then then go tell Sally what Mark said.
def task_program():
    go_to(""Sally's office"")
    response_sally = ask(""Sally"", ""Do you want to go to the cinema with Mark?"", [""Yes"", ""No""])
    go_to(""Mark's office"")
    say(""Sally said: "" + response_sally)
    if response_sally == ""Yes"":
        response_mark = ask(""Mark"", ""Do you want to leave at 4PM, 5PM, or 6PM?"", [""4PM"", ""5PM"", ""6PM""])
        go_to(""Sally's office"")
        say(""Mark wants to leave at "" + response_mark)
"
SayGoodDay_0,"Go to every lab and if there is a person there, say Good Day!
def task_program():
    list_of_rooms = get_all_rooms()
    for room in list_of_rooms:
        if ""lab"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            say(""Good Day!"")
"
SayGoodDay_1,"Visit each lab and if someone is present, greet them with a pleasant Good Day!
def task_program():
    list_of_rooms = get_all_rooms()
    for room in list_of_rooms:
        if ""lab"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            say(""Good Day!"")
"
SayGoodDay_2,"Go through all the labs, and if there's a person inside, say 'Good Day!' to them.
def task_program():
    list_of_rooms = get_all_rooms()
    for room in list_of_rooms:
        if ""lab"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            say(""Good Day!"")
"
SayGoodDay_3,"Head to each lab and in case there's a person present, bid them a Good Day!
def task_program():
    list_of_rooms = get_all_rooms()
    for room in list_of_rooms:
        if ""lab"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            say(""Good Day!"")
"
SayGoodDay_4,"Visit every lab space and when encountering an individual, tell them a Good Day!
def task_program():
    list_of_rooms = get_all_rooms()
    for room in list_of_rooms:
        if ""lab"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            say(""Good Day!"")
"
LunchBreak_0,"Ask if Alice and Bob in their offices are up for lunch. If yes, tell them that we'll meet in the lobby in 5 minutes. Come back and tell me who all are joining for lunch.
def task_program():
    start_loc = get_current_location()
    lunch_participants = []
    for person in [""Alice"", ""Bob""]:
        go_to(person + ""'s office"")
        response = ask(person, ""Are you up for lunch?"", [""Yes"", ""No""])
        if response == ""Yes"":
            lunch_participants.append(person)
            say(""We'll meet in the lobby in 5 minutes"")
    go_to(start_loc)
    if len(lunch_participants) > 0:
        message = "", "".join(lunch_participants) + "" are joining for lunch""
    else:
        message = ""No one is joining for lunch""
    say(message)
"
LunchBreak_1,"Ask Alice in her office if she is up for lunch, and if yes, tell her that we will meet in the lobby in 5 minutes. Do the same for Bob. Come back and tell me who all are joining for lunch.
def task_program():
    start_loc = get_current_location()
    lunch_participants = []
    for person in [""Alice"", ""Bob""]:
        go_to(person + ""'s office"")
        response = ask(person, ""Are you up for lunch?"", [""Yes"", ""No""])
        if response == ""Yes"":
            lunch_participants.append(person)
            say(""We will meet in the lobby in 5 minutes"")
    go_to(start_loc)
    if len(lunch_participants) > 0:
        message = "", "".join(lunch_participants) + "" are joining for lunch""
    else:
        message = ""No one is joining for lunch""
    say(message)
"
LunchBreak_2,"Go to Alice's and Bob's offices and ask each of them if they are up for lunch. If they say yes, tell them that we will meet in the lobby in 5 minutes. Come back and tell me who all are joining for lunch.
def task_program():
    start_loc = get_current_location()
    lunch_participants = []
    for person in [""Alice"", ""Bob""]:
        go_to(person + ""'s office"")
        response = ask(person, ""Are you up for lunch?"", [""Yes"", ""No""])
        if response == ""Yes"":
            lunch_participants.append(person)
            say(""We will meet in the lobby in 5 minutes"")
    go_to(start_loc)
    if len(lunch_participants) > 0:
        message = "", "".join(lunch_participants) + "" are joining for lunch""
    else:
        message = ""No one is joining for lunch""
    say(message)
"
LunchBreak_3,"Ask Alice and Bob if they are up for lunch. If they say yes, tell them that we will meet in the lobby in five minutes. Come back and tell me who all are joining for lunch.
def task_program():
    start_loc = get_current_location()
    lunch_participants = []
    for person in [""Alice"", ""Bob""]:
        go_to(person + ""'s office"")
        response = ask(person, ""Are you up for lunch?"", [""Yes"", ""No""])
        if response == ""Yes"":
            lunch_participants.append(person)
            say(""We will meet in the lobby in five minutes"")
    go_to(start_loc)
    if len(lunch_participants) > 0:
        message = """"
        for person in lunch_participants:
            message += person + "", ""
        message += ""are joining for lunch""
    else:
        message = ""No one is joining for lunch""
    say(message)
"
LunchBreak_4,"Go to Alice's office and ask her if she is free for lunch. If she says yes, tell her that we will meet in the lobby in five minutes. Do the same for Bob. Come back and tell me who will join for lunch.
def task_program():
    start_loc = get_current_location()
    lunch_participants = []
    for person in [""Alice"", ""Bob""]:
        go_to(person + ""'s office"")
        response = ask(person, ""Are you free for lunch?"", [""Yes"", ""No""])
        if response == ""Yes"":
            say(""We will meet in the lobby in five minutes"")
            lunch_participants.append(person)
    go_to(start_loc)
    if len(lunch_participants) > 0:
        message = """"
        for person in lunch_participants:
            message += person + "", ""
        message += ""will join for lunch""
    else:
        message = ""No one will join for lunch""
    say(message)
"
StaplerSupply_0,"Check every printer room for a stapler, and come back and tell me which ones do not have a stapler.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    room_without_stapler = []
    for room in list_of_rooms:
        if ""printer room"" not in room:
            continue
        go_to(room)
        if not is_in_room(""stapler""):
            room_without_stapler.append(room)
    go_to(start_loc)
    if len(room_without_stapler) > 0:
        message = """"
        for room in room_without_stapler:
            message += room + "", ""
        message += ""do not have a stapler""
    else:
        message = ""all printer rooms have a stapler""
    say(message)
"
StaplerSupply_1,"Go to every printer room and check to see if there is a stapler. Come back and tell me which printer rooms do not have a stapler.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    rooms_without_stapler = []
    for room in list_of_rooms:
        if ""printer room"" not in room:
            continue
        go_to(room)
        if not is_in_room(""stapler""):
            rooms_without_stapler.append(room)
    go_to(start_loc)
    if len(rooms_without_stapler) > 0:
        message = """"
        for room in rooms_without_stapler:
            message += room + "", ""
        message += ""do not have a stapler""
    else:
        message = ""all printer rooms have a stapler""
    say(message)
"
StaplerSupply_2,"Go find all printer rooms that do not have a stapler. Come back and tell me.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    rooms_without_stapler = []
    for room in list_of_rooms:
        if ""printer room"" not in room:
            continue
        go_to(room)
        if not is_in_room(""stapler""):
            rooms_without_stapler.append(room)
    go_to(start_loc)
    if len(rooms_without_stapler) > 0:
        message = ""The following printer rooms do not have a stapler: ""
        for room in rooms_without_stapler:
            message += room + "", ""
        say(message)
    else:
        say(""All printer rooms have a stapler"")
"
StaplerSupply_3,"Check all printer rooms for staplers, and come back and tell me which ones do not have any staplers.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    room_without_stapler = []
    for room in list_of_rooms:
        if ""printer room"" not in room:
            continue
        go_to(room)
        if not is_in_room(""stapler""):
            room_without_stapler.append(room)
    go_to(start_loc)
    if len(room_without_stapler) > 0:
        message = """"
        for room in room_without_stapler:
            message += room + "", ""
        message += ""do not have a stapler""
    else:
        message = ""all printer rooms have a stapler""
    say(message)
"
StaplerSupply_4,"Tell me the name of every printer room that does not have a stapler.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    printer_rooms_without_stapler = []
    for room in list_of_rooms:
        if ""printer room"" not in room:
            continue
        go_to(room)
        if not is_in_room(""stapler""):
            printer_rooms_without_stapler.append(room)
    go_to(start_loc)
    if len(printer_rooms_without_stapler) > 0:
        message = ""The following printer rooms do not have a stapler: ""
        for room in printer_rooms_without_stapler:
            message += room + "", ""
        say(message)
    else:
        say(""All printer rooms have a stapler"")
"
LunchTime_0,"Go to Jill's office and ask her if she'd like to go for lunch tomorrow. If yes, ask her at what time (offer her some reasonable options). Come back and tell me what she said.
def task_program():
    start_loc = get_current_location()
    go_to(""Jill's office"")
    response = ask(""Jill"", ""Would you like to go for lunch tomorrow?"", [""Yes"", ""No""])
    if response == ""Yes"":
        time = ask(""Jill"", ""At what time?"", [""12:00"", ""12:30"", ""1:00"", ""1:30""])
        response += "" at "" + time
    go_to(start_loc)
    say(""Jill said: "" + response)
"
LunchTime_1,"Go to Jill's office and ask her whether she's free to go for lunch tomorrow. If yes, ask her when (give her some reasonable times), and come back and tell me what she said.
def task_program():
    start_loc = get_current_location()
    go_to(""Jill's office"")
    response = ask(""Jill"", ""Are you free to go for lunch tomorrow?"", [""Yes"", ""No""])
    if response == ""Yes"":
        time = ask(""Jill"", ""When would you like to go for lunch?"", [""12:00"", ""12:30"", ""1:00"", ""1:30""])
        response += "" at "" + time
    go_to(start_loc)
    say(""Jill said: "" + response)
"
LunchTime_2,"Visit Jill's office and ask her if she would like to go for lunch tomorrow. If yes, ask her when (offer some reasonable lunch time options). Let me know what she said.
def task_program():
    start_loc = get_current_location()
    go_to(""Jill's office"")
    response = ask(""Jill"", ""Would you like to go for lunch tomorrow?"", [""Yes"", ""No""])
    if response == ""Yes"":
        time = ask(""Jill"", ""When would you like to go for lunch?"", [""12:00 PM"", ""1:00 PM"", ""2:00 PM""])
        response += "" at "" + time
    go_to(start_loc)
    say(""Jill said: "" + response)
"
LunchTime_3,"Ask Jill in her office whether she will be free to go for lunch tomorrow. If yes, offer her some reasonable time options to choose from, and come back and tell me what she said.
def task_program():
    start_loc = get_current_location()
    go_to(""Jill's office"")
    response = ask(""Jill"", ""Will you be free to go for lunch tomorrow?"", [""Yes"", ""No""])
    if response == ""Yes"":
        lunch_time = ask(""Jill"", ""What time would you prefer?"", [""12:00"", ""12:30"", ""1:00"", ""1:30""])
        response += "", she prefers "" + lunch_time
    go_to(start_loc)
    say(""Jill said: "" + response)
"
LunchTime_4,"Ask Jill in her office if she want to go for lunch tomorrow. If yes, give her some reasonable time options and ask her to choose a time. Finally come back and tell me what she said.
def task_program():
    start_loc = get_current_location()
    go_to(""Jill's office"")
    response = ask(""Jill"", ""Do you want to go for lunch tomorrow?"", [""Yes"", ""No""])
    if response == ""Yes"":
        time = ask(""Jill"", ""What time would you prefer?"", [""12:00 PM"", ""1:00 PM"", ""2:00 PM""])
        response += "", at "" + time
    go_to(start_loc)
    say(""Jill said: "" + response)
"
WeatherPoll_0,"Go to the main entrance, and wait for someone to show up. Ask them if they feel it is hot out. Repeat this until you have 10 responses, and then come back and tell me what percent of people think it is hot out.
def task_program():
    start_loc = get_current_location()
    go_to(""main entrance"")
    responses = []
    while len(responses) < 10:
        if is_in_room(""person""):
            response = ask("""", ""Do you feel it is hot out?"", [""Yes"", ""No""])
            responses.append(response)
        time.sleep(1)
    go_to(start_loc)
    hot_responses = responses.count(""Yes"")
    percentage = (hot_responses / len(responses)) * 100
    say(str(percentage) + ""% of people think it is hot out."")
"
WeatherPoll_1,"Go to the main entrance. When someone shows up, ask them if they feel that it's hot out. Do this until you collect ten people's responses. Come back and tell me which percent of people think it's hot out.
def task_program():
    start_loc = get_current_location()
    go_to(""main entrance"")
    responses = []
    while len(responses) < 10:
        if is_in_room(""person""):
            response = ask("""", ""Do you feel that it's hot out?"", [""Yes"", ""No""])
            responses.append(response)
        time.sleep(1)
    hot_responses = responses.count(""Yes"")
    percentage_hot = (hot_responses / len(responses)) * 100
    go_to(start_loc)
    say(str(percentage_hot) + ""% of people think it's hot out"")
"
WeatherPoll_2,"Go wait for someone at the main entrance. Ask them if they feel it is hot out, then wait for the next person and ask the same question. Do this until you have ten responses, then come back and report the percentage of people who think it is hot out.
def task_program():
    start_loc = get_current_location()
    go_to(""main entrance"")
    hot_responses = 0
    total_responses = 0
    while total_responses < 10:
        if is_in_room(""person""):
            response = ask("""", ""Do you feel it is hot out?"", [""Yes"", ""No""])
            total_responses += 1
            if response == ""Yes"":
                hot_responses += 1
    go_to(start_loc)
    percentage_hot = (hot_responses / total_responses) * 100
    say(str(percentage_hot) + ""% of people think it is hot out"")
"
WeatherPoll_3,"Go to the main entrance. If there is no one there, wait for someone. Ask them if they feel it is hot out. Ask 10 people this same question until you have 10 replies. Finally, come back and tell me the percentage of people that think it's hot outside.
def task_program():
    start_loc = get_current_location()
    go_to(""main entrance"")
    hot_count = 0
    total_count = 0
    while total_count < 10:
        if is_in_room(""person""):
            response = ask("""", ""Do you think it's hot outside?"", [""Yes"", ""No""])
            total_count += 1
            if response == ""Yes"":
                hot_count += 1
        time.sleep(1)
    go_to(start_loc)
    say(str((hot_count / total_count) * 100) + ""% of people think it's hot outside"")
"
WeatherPoll_4,"Go to the main entrance, and if there is no one there, wait for someone to show up. Ask them if they feel it is hot out. Wait for the next person and ask the same question again. Do this 10 times. Come back and report the percentage of people who think it's hot out.
def task_program():
    go_to(""main entrance"")
    hot_count = 0
    total_count = 0
    while total_count < 10:
        if is_in_room(""person""):
            response = ask("""", ""Do you think it's hot out?"", [""Yes"", ""No""])
            if response == ""Yes"":
                hot_count += 1
            total_count += 1
        time.sleep(1)
    go_to(""start_loc"")
    say(str((hot_count/total_count)*100) + ""% of people think it's hot out."")
"
FindBackpack_0,"Check where I left my backpack in all of the conference rooms and bring it back to me.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    for room in list_of_rooms:
        if ""conference room"" not in room:
            continue
        go_to(room)
        if is_in_room(""backpack""):
            pick(""backpack"")
            break
    go_to(start_loc)
    place(""backpack"")
"
FindBackpack_1,"Search all the conference rooms for my backpack and return it to me.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    for room in list_of_rooms:
        if ""conference room"" not in room:
            continue
        go_to(room)
        if is_in_room(""backpack""):
            pick(""backpack"")
            break
    go_to(start_loc)
    place(""backpack"")
"
FindBackpack_2,"Please find my backpack in each conference room and then bring it to me.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    for room in list_of_rooms:
        if ""conference room"" not in room:
            continue
        go_to(room)
        if is_in_room(""backpack""):
            pick(""backpack"")
            break
    go_to(start_loc)
    place(""backpack"")
"
FindBackpack_3,"Go through every conference room and find my backpack, then bring it back to me.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    for room in list_of_rooms:
        if ""conference room"" not in room:
            continue
        go_to(room)
        if is_in_room(""backpack""):
            pick(""backpack"")
            break
    go_to(start_loc)
    place(""backpack"")
"
FindBackpack_4,"Look in all of the conference rooms to search for my backpack and then bring it back to me.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    for room in list_of_rooms:
        if ""conference room"" not in room:
            continue
        go_to(room)
        if is_in_room(""backpack""):
            pick(""backpack"")
            break
    go_to(start_loc)
    place(""backpack"")
"
HalloweenShopping_0,"Go to every office, and if there is anyone there, ask them how many from 0 to 4 of the following treats they'd like: chocolate, caramel, and gummy. Come back and tell me how many of each we need to buy.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    treat_counts = {""chocolate"": 0, ""caramel"": 0, ""gummy"": 0}
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            for treat in treat_counts.keys():
                response = ask("""", ""How many "" + treat + "" would you like?"", [""0"", ""1"", ""2"", ""3"", ""4""])
                treat_counts[treat] += int(response)
    go_to(start_loc)
    for treat, count in treat_counts.items():
        say(""We need to buy "" + str(count) + "" "" + treat)
"
HalloweenShopping_1,"For each office, check if there is anyone there. If there is, ask the person to choose how many (0-4) of each of the following they'd like: caramel, chocolate, or gummy. Come back and tell me how many of each we need to buy.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    caramel_count = 0
    chocolate_count = 0
    gummy_count = 0
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            caramel_count += int(ask("""", ""How many caramels would you like?"", [""0"", ""1"", ""2"", ""3"", ""4""]))
            chocolate_count += int(ask("""", ""How many chocolates would you like?"", [""0"", ""1"", ""2"", ""3"", ""4""]))
            gummy_count += int(ask("""", ""How many gummies would you like?"", [""0"", ""1"", ""2"", ""3"", ""4""]))
    go_to(start_loc)
    say(""We need to buy "" + str(caramel_count) + "" caramels, "" + str(chocolate_count) + "" chocolates, and "" + str(gummy_count) + "" gummies."")
"
